
 Стеклец
Географические координаты скважин 
    Временная дорога
Скв.	Широта    	Долгота 
 51	55°27'37,41"	49°43'56,94"
 52	55°27'45,47"	49°44'13,10"
 53	55°27'52,41"	49°44'26,85"
 54	55°27'49,49"	49°44'36,39"
 55	55°27'57,48"	49°44'49,69"
 56	55°27'49,71"	49°45'02,67"
 57	55°27'48,60"	49°45'04,05"
 58	55°27'45,25"	49°45'06,31"
 59	55°27'40,42"	49°44'59,67"
 60	55°27'35,25"	49°45'05,06"
 61	55°27'27,74"	49°44'53,26"
 62	55°27'19,83"	49°44'41,50"
 63	55°27'08,42"	49°44'37,16"
 64	55°26'59,00"	49°44'32,66"
 65	55°26'51,34"	49°44'18,63"
 66	55°26'36,11"	49°44'08,03"
 67	55°26'23,88"	49°44'02,59"
 68	55°26'10,16"	49°43'59,89"
 69	55°26'04,89"	49°43'37,83"
 70	55°25'57,29"	49°43'06,80"
 71	55°25'52,52"	49°42'33,33"
 72	55°27'26,98"	49°42'06,74"
 73	55°27'34,73"	49°41'52,76"
 74	55°27'36,31"	49°43'35,86"
 28	55°27'33,98"	49°42'34,27"
   
Проектируемый переход: 

Скв.  	Широта  	Долгота 
 1	55°27'35,43"	49°42'53,24"
 2	55°27'35,87"	49°42'57,97"
 3	55°27'35,86"	49°42'59,28"
 4	55°27'55,99"	49°43'00,82"
 5	55°27'36,08"	49°43'02,03"
 6	55°27'36,24"	49°43'04,00"
 7	55°27'36,35"	49°43'07,73"
 8	55°27'36,44"	49°43'09,03"
 9	55°27'37,31"	49°43'10,97"
10	55°27'36,67"	49°42'51,54"
11	55°27'36,30"	49°42'45,83"
12	55°27'35,92"	49°42'40,06"
13	55°27'35,64"	49°42'34,46"
14	55°27'35,34"	49°42'28,79" 
15	55°27'34,81"	49°42'23,35" 
16	55°27'34,45"	49°42'26,12" 
17	55°27'34,83"	49°42'31,67" 

Площадка складирования 100х100
 Скв.  	Широта  	Долгота 
18	55°27'34,53"	49°42'39,62"
19	55°27'34,73"	49°42'45,22"
25	55°27'31,43"	49°42'44,83"
26	55°27'31,28"	49°42'39,78"
27	55°27'33,14"	49°42'42,47" 

Площадки складирования (мелкие)
Скв.  	Широта  	Долгота 
29	55°27'32,99"	49°42'30,46"
30	55°27'32,43"	49°42'28,10"
31	55°27'31,45"	49°42'24,75"
32	55°27'30,23"	49°42'27,12"
33	55°27'28,56"	49°42'26,86"
34	55°27'29,91"	49°42'29,86"
35	55°27'30,32"	49°42'32,78"
36	55°27'29,77"	49°42'34,45"
37	55°27'30,80"	49°42'33,47"
38	55°27'32,04"	49°42'34,91" 
 
 Амбар
Скв.  	Широта  	Долгота  
20	55°27'34,50"	49°42'48,69"
21	55°27'34,58"	49°42'51,50"
22	55°27'33,03"	49°42'51,21"
23	55°27'32,75"	49°42'48,78"
24	55°27'32,24"	49°42'48,04" 
 
 Площадки складирования+врем.амбар на дальнем берегу 

  Скв.  	Широта  	Долгота 
39	55°27'35,27"	49°43'11,44"
40	55°27'36,16"	49°43'14,77"
41	55°27'33,71"	49°43'11,00"
42	55°27'32,98"	49°43'12,01"
43	55°27'33,45"	49°43'13,89"
44	55°27'34,20"	49°43'16,82"
45	55°27'35,60"	49°43'20,39"
46	55°27'35,39"	49°43'22,08"
47	55°27'33,89"	49°43'21,22"
48	55°27'34,00"	49°43'19,55"
49	55°27'32,42"	49°43'18,70"
50	55°27'35,04"	49°43'14,34"

